AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.858626456482 (0.00318915313823),0.937473333333 (0.00114161678723),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.480612924717 (0.0144777373272),0.361146284572 (0.00997754474393),0.242559573404 (0.00620702477394),0.208398880149 (0.00550281666034),0.122471835211 (0.00350148677974),0.0865650415537 (0.00217348666275),0.0776440139602 (0.00193894038858),0.359736015122 (0.0047980859174),0.540480869244 (0.006311989548),0.725896346532 (0.00432971209323),0.779531357617 (0.00300948090605),0.916122328573 (0.00541881865435),0.97135331743 (0.00341557903),0.987412005458 (0.00236173049152),0.411423053439 (0.00773403454115),0.432918850652 (0.00840464460351),0.363576801524 (0.00720678803264),0.328844826092 (0.00704166299124),0.216046783818 (0.0055763414493),0.158956692257 (0.00368412125911),0.143961711032 (0.00334532970588),0.164844703674 (0.0569863716256),5.83947300911 (0.0518658980967)
0.856494110501 (0.00313621897093),0.93742 (0.00110224014322),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.478214523651 (0.0124524812711),0.361279573476 (0.0110485165401),0.241093151141 (0.00645510120919),0.20757232369 (0.00522420109967),0.121911872542 (0.00288406384346),0.0866983689614 (0.00219734642223),0.0775028430258 (0.00191670157346),0.357976961881 (0.00436823839166),0.540652061902 (0.00766699196603),0.721481242851 (0.00345072737617),0.776464204892 (0.00290680169623),0.912046864378 (0.00442913787557),0.972844259545 (0.00362747537385),0.985623161481 (0.00273153334473),0.409393317571 (0.00629139791138),0.433069539792 (0.00973949158769),0.361375419467 (0.00754784743711),0.327542733579 (0.0066147335872),0.215062113519 (0.00449694355056),0.15920144738 (0.0037275755471),0.143700034531 (0.0033054179685),0.129995155334 (0.000934670034591),2.97847971916 (0.0336777121723)
0.860647631615 (0.00287960767964),0.937413333333 (0.0012835021534),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481545636243 (0.0123090808047),0.362945684772 (0.00975698446314),0.242626228962 (0.00656903960821),0.208905479269 (0.00502159200783),0.122751816546 (0.00306953295731),0.0867605884183 (0.00205118245455),0.0777930277244 (0.00193201228781),0.360488518065 (0.00531956696775),0.543223871338 (0.00905744071863),0.726073197371 (0.00522970090206),0.781478985462 (0.00432904739821),0.918293008754 (0.00259993208204),0.973579639737 (0.00215964200616),0.98931044191 (0.0024915276442),0.412257014735 (0.00673658216182),0.435091824139 (0.00879267800597),0.363673933751 (0.00776823876672),0.329648949624 (0.00632528537563),0.21654279731 (0.00480979080005),0.15931618791 (0.00345633196582),0.144238039874 (0.00333243534697),0.126303339005 (0.00151655989259),6.80806317329 (0.102943698933)
0.864571510959 (0.00295441960691),0.9374 (0.001056619347),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.0132616775854),0.364611796068 (0.0102865878742),0.243726045659 (0.00597636864961),0.209652046394 (0.0048616146324),0.123778414772 (0.0030006590923),0.0871961246167 (0.00210902813523),0.0779969412964 (0.001868832932),0.361277510711 (0.00597164771731),0.545682073142 (0.00814219067538),0.729397747557 (0.00210585403074),0.78427864643 (0.00194072159129),0.925998423874 (0.00458609118383),0.978454940285 (0.00259544077067),0.99192313616 (0.00137746383133),0.413163577522 (0.00762915062697),0.437077644344 (0.00905564599757),0.365326495677 (0.00678663248531),0.330827539543 (0.00601212554137),0.218354497468 (0.00469388852449),0.160115795502 (0.00356205416976),0.144616325097 (0.00321358300198),0.147143936157 (0.00149014758725),4.79737200737 (0.0474656263353)
0.860722196792 (0.00297709628797),0.937366666667 (0.000989724989861),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.480612924717 (0.0131676314762),0.362479173609 (0.0103447131663),0.241559740043 (0.00649472816105),0.208212238368 (0.00528400716814),0.122925138324 (0.00312360709053),0.0869828007644 (0.00224465709141),0.0776989137681 (0.00192582595499),0.359778632955 (0.00570843452069),0.542514300429 (0.00981964465628),0.722876531602 (0.00373915913493),0.778850024752 (0.001674073639),0.919589170921 (0.00482597632149),0.976021395168 (0.00247999038566),0.988113258892 (0.00164046716789),0.411450956 (0.00746010596809),0.434529041877 (0.00956167554709),0.362074650536 (0.00760845093714),0.32855180114 (0.00668739518545),0.216848538068 (0.00491475938032),0.15972354115 (0.00381045617264),0.14406353579 (0.00332033460507),0.125188398361 (0.00174544907119),5.66609520912 (0.0652978947284)
0.860315805814 (0.00260614172144),0.93734 (0.00101069832844),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479413724184 (0.0138958111387),0.362745751416 (0.0111887282019),0.242326278954 (0.00603076262557),0.208852153046 (0.00551198168113),0.123018465436 (0.00300101450132),0.0867694769121 (0.00192012041161),0.0777381279166 (0.00180036934522),0.358889673712 (0.00706634266933),0.54286381702 (0.00920602914646),0.725204732732 (0.00298793396677),0.781228837007 (0.00347106163902),0.920305207712 (0.00349615849211),0.973715859085 (0.00314008649347),0.988650888896 (0.00179024062771),0.410430136434 (0.00866500415802),0.434832762617 (0.0102023918315),0.363227899266 (0.0069038774349),0.329560269102 (0.0070625586877),0.217013656453 (0.00469095660783),0.159332997414 (0.00321646478658),0.144136656671 (0.00308775362547),0.125989675522 (0.000718545817183),6.80933227539 (0.117511741402)
0.863305578821 (0.0028235784675),0.937306666667 (0.00113771701227),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482345103264 (0.0137829186313),0.364611796068 (0.0106326622876),0.242726212298 (0.00588931178161),0.208372217038 (0.00597574998803),0.123551763216 (0.00303839360752),0.0870886699074 (0.00220863878416),0.0779094745096 (0.00177825406444),0.361044034317 (0.0043449254972),0.545645379712 (0.00657268586919),0.726409665701 (0.0020221097332),0.779393281876 (0.00515328591737),0.924297762432 (0.0051862488027),0.977231002127 (0.00304685998688),0.990852736979 (0.00129743097089),0.412913221267 (0.00707961603169),0.437065870474 (0.00907209073635),0.363828367384 (0.00666755676563),0.328799349839 (0.00780502617985),0.217954528635 (0.00476536649798),0.159918237177 (0.00374520481324),0.14445458694 (0.00304522541009),0.162145137787 (0.000495813594088),2.09750299454 (0.0468287207612)
0.858845331138 (0.00280681598692),0.937266666667 (0.0012200182148),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.48068025666 (0.0119260296477),0.363212262579 (0.010822287453),0.24189301783 (0.00567120900421),0.208398880149 (0.00562547424797),0.122151856543 (0.00335506402993),0.0868761388383 (0.0022148942448),0.0776361711305 (0.00185070840282),0.359918167833 (0.00665006385308),0.543561731768 (0.00808154660518),0.723933266411 (0.00278675055674),0.779517541485 (0.00260735626659),0.913755042378 (0.00488096468658),0.974833011038 (0.00279885602875),0.987339124603 (0.00190600622707),0.411567018462 (0.00738770419664),0.435391962305 (0.00960094920995),0.36258155691 (0.00636005401563),0.328843599419 (0.00722394197445),0.215483049174 (0.00532105627977),0.159527795786 (0.00375708094241),0.143947450804 (0.00318125136085),0.126351499557 (0.000883452272014),3.40345387459 (0.039260955121)
0.863943982047 (0.00303707088458),0.93726 (0.00122263831301),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482211858761 (0.0127970230018),0.364078640453 (0.0104879820292),0.242892851191 (0.00603278825622),0.209678709505 (0.00534620321032),0.123725084994 (0.00277045502054),0.087178347629 (0.00204504908724),0.0780198540948 (0.00190107813979),0.360961057238 (0.00401974273024),0.54487934563 (0.00853462881336),0.726898260579 (0.00208613002082),0.784337791442 (0.00312106097531),0.925640479731 (0.00477225108402),0.978271267164 (0.00197854193623),0.992211916712 (0.000801754840353),0.412810127119 (0.0063159641655),0.436436857581 (0.00933500576377),0.364076892859 (0.00688142562921),0.330866023942 (0.00679084426664),0.218261557707 (0.0042892291014),0.160083361622 (0.00344359580232),0.144658781535 (0.00327295522978),0.163669776917 (0.000571449464992),2.48071379662 (0.0491313361834)
0.863923834829 (0.00287801682232),0.93724 (0.00121498056683),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.012489495702),0.365678107298 (0.0110710055473),0.243226128979 (0.00607315898944),0.209038794827 (0.00465422159938),0.123765082328 (0.00258374381372),0.087178347629 (0.00217388647134),0.0779734128073 (0.00193236246593),0.36129943454 (0.00624272448226),0.547268150053 (0.00959823056522),0.727891999541 (0.00153535188658),0.782004847805 (0.00317703246172),0.925972448284 (0.00522294043953),0.978237543362 (0.00255896789284),0.991604112515 (0.00133037051092),0.413177892191 (0.00737555539762),0.438352776223 (0.010147556288),0.364575974202 (0.00692727944194),0.329861654035 (0.00570790977696),0.218333023678 (0.00395962139936),0.160082910681 (0.0036806638904),0.144572488358 (0.00333109505638),0.154408836365 (0.0149964576756),2.45621500015 (0.0478201930749)
